駅名,住所,URL
銀の馬車道・神河 [ Ｇinnobasyamichi kamikawa ],神崎郡神河町吉冨88-10,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/ginnobasyamichi.html
山陰海岸ジオパーク浜坂の郷 [ Saninkaigan Jiopark Hamasakanosato],美方郡新温泉町栃谷57,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/saninkaiganjioparkhamasakanosato.html
播磨いちのみや [ Harima ichinomiya ],宍粟市一宮町須行名510-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/harimaichinomiya.html
フレッシュあさご [ Fresh Asago ],朝来市岩津96番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/freshasago.html
宿場町ひらふく [ Syukubamati Hirafuku ],佐用郡佐用町平福988-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/syukubamatihirafuku.html
あゆの里矢田川 [ Ayunosato Yadagawa ],美方郡香美町村岡区長瀬933-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/ayunosatoyatagawa.html
とうじょう [ Tojo ],加東市南山1丁目5番地3,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/toujyou.html
いながわ [ INAGAWA ],川辺郡猪名川町万善字竹添70-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/inagawa.html
東浦ターミナルパーク [ Higashiura Taminarupa-ku ],淡路市浦648番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/higashiuratatarminalpark.html
うずしお [ Uzushio ],南あわじ市福良丙947-22,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/uzushio.html
みき [ Miki ],三木市福井2426,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/miki.html
北はりまエコミュージアム [ Kitaharima Eco-Museum ],西脇市寺内517-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/kitaharimaecomum.html
あわじ [ Awaji ],淡路市岩屋1873-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/awaji.html
あいおい白龍城 [ AIOIPERONJO ],相生市那波南本町8-55,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/aioipeperonjyou.html
ハチ北 [ Hachikita ],美方郡香美町村岡区福岡608番地の1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/hachikita.html
あおがき [ Aogaki ],丹波市青垣町西芦田540番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/aogaki.html
淡河 [ Ogo ],神戸市北区淡河町淡河字弘法垣643番1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/ogo.html
丹波おばあちゃんの里 [ Tanba Obaachannnosato ],丹波市春日町七日市７１０番,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/tanbaobaachan.html
但馬のまほろば [ Tajimanomahoroba ],朝来市山東町大月92-6,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/tajimanomahoroba.html
ようか但馬蔵 [ YoukaTajimanokura ],養父市八鹿町高柳２４１－１,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/youkatajimanokura.html
みつ [ Mitsu ],たつの市御津町室津896-23,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/mitsu.html
あまるべ [ Amarube ],美方郡香美町香住区余部1723番地の4,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/amarube.html
福良 [ Fukura ],南あわじ市福良甲1528番地1地先,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/fukura.html
杉原紙の里・多可 [ Sugiharagaminosato Taka ],多可郡多可町加美区鳥羽 733-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/rutoyonniinanakami.html
山田錦発祥のまち・多可 [ Yamada-nishiki Rice Birthplace:Taka ],多可郡多可町中区岸上281-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/Yamada-nishik-taka.html
神戸フルーツ・フラワーパーク 大沢 [ Kobe Fruit Flower Park Ozo ],神戸市北区大沢町上大沢2150,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/kobefruitflowerparkozo.html
しんぐう [ Shinguu ],たつの市新宮町平野99番地の2,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/hyogo/shinguu.html
